Ind;Task;Trial;Time;goalBLActivation;reachGoal;Accuracy;retrievedOperators
0;recall;0;6.327293335220696;2.928103402363132;False;;0.00_WM1toRT1-0.35_WM1toRT3-0.70_V1toWM1-1.35_WM1toRT1-3.49_WM1toRT2-5.63_RT1toAC1
1;attribute;0;1.4046983643652649;1.1871396621120371;False;;11.36_V1toWM1-12.03_WM1toAC1
2;category;0;1.437554372717358;1.1551454582565983;False;;17.77_V1toWM1-18.47_WM1toAC1
3;complete;0;1.320245109392275;1.1359184118162458;False;;24.21_C1toRT1-24.61_RT1equalC1-24.71_RT1equalC1-24.79_RT2toAC1
4;paired-associate;0;5.732833317528153;1.1152596606974514;False;;30.52_V1toWM1-31.23_WM1toRT3-33.39_WM1toRT3-35.57_WM1toAC1
5;what-comes-before;0;2.6365640960883066;1.1052915325913044;False;;41.26_WM1toRT3-41.67_WM1toRT1-42.09_C1toRT1-42.53_RT2toWM1-43.21_WM1toRT3
6;press-key;0;5.0;1.2832284739647712;False;;48.91_WM1toRT1-49.35_WM1toRT2-49.80_WM1toRT3-50.21_next-goal-50.89_WM1toRT3-51.30_next-goal-51.70_WM1toRT2-52.09_WM1toRT1
7;recall;1;2.1011177721004373;1.4875270054286518;True;;58.87_V1toWM1-59.52_WM1toRT1-60.26_WM1toAC1
8;recall;2;2.261941580212905;1.4460229269460938;True;;65.99_WM1toRT1-66.34_WM1toRT2-66.72_V1toRT1-67.17_WM1toRT2-67.52_RT1toAC1
9;attribute;1;1.7010201032335883;1.0815553437809549;False;;73.28_WM1toRT1-73.67_V1toRT3-74.13_RT1equalC1-74.22_RT3toAC1
10;complete;1;1.1211167246126763;1.0785370195394235;False;;79.94_C1toRT1-80.34_RT2toAC1
11;category;1;1.567670441611071;1.0756483246575106;False;;86.09_WM1toRT1+WM1toAC1-86.48_C1altToRT1-86.91_RT3toAC1
12;what-comes-before;1;2.0454147242820118;1.1192516514608362;False;;92.65_V1toWM1-93.35_WM1toRT1+WM1toAC1
13;paired-associate;1;5.809892967504325;1.0691775599516757;False;;99.68_V1toWM1-100.33_WM1toRT3-102.48_WM1toRT3-104.68_C1toRT1-105.12_RT3toRT2
14;recall;3;10.0;1.2778084094516522;False;;110.47_WM1toRT2-110.85_WM1toRT1+WM1toAC1-111.24_WM1toRT3-111.82_WM1toRT1
