Ind;Task;Trial;Time;goalBLActivation;reachGoal;Accuracy;retrievedOperators
0;attribute;0;3.324401917545844;1.3368520919702322;False;;0.01_WM1toRT3-0.39_V1toRT2-2.25_WM1toRT3-2.62_RT1toAC1
1;attribute;1;2.9720600560422827;1.1975602540137482;False;;8.35_V1toRT2-10.22_WM1toRT3-10.60_RT1toAC1
2;attribute;2;2.873931494722872;1.1551422902596618;False;;16.34_WM1toRT1-16.74_V1toRT3-17.16_RT2toRT1-17.61_C1toRT1-18.03_C1toRT1-18.47_RT3toAC1
3;attribute;3;2.6178425310180917;1.1328012075684233;False;;24.20_V1toRT2-26.09_RT1toAC1
4;attribute;4;2.010028350987831;1.1190836257356789;False;;31.83_WM1toRT1-32.24_V1toRT1-32.70_WM1toRT3-33.10_RT1toAC1
5;attribute;5;1.1689431342711103;1.1100274200576252;False;;38.84_V1toRT3-39.27_RT3toAC1
6;attribute;6;4.243213026101984;1.0996916671715995;False;;45.01_WM1toRT3-45.39_C1toRT1-45.80_C1toRT1-46.22_RT2toRT1-48.10_WM1toRT3-48.51_RT1toAC1
7;attribute;7;4.422605842811301;1.0917091543534132;False;;54.27_WM1toRT3-54.65_WM1toRT1-55.05_V1toWM1-55.75_WM1toRT2-57.93_RT1toAC1
8;attribute;8;1.5942956613007695;1.0871548325508622;False;;63.68_V1toRT1-64.11_WM1toRT2-64.53_RT1toAC1
9;attribute;9;3.8946876059755615;1.0819771432857113;False;0.0;70.28_C1toRT1-70.70_RT2toRT1-72.57_WM1toRT2-72.97_WM1toRT3-73.42_RT1toAC1
10;attribute;10;3.71223988589729;1.0777166829305538;False;0.0;79.13_V1toWM1-79.84_WM1toRT1-80.61_WM1toRT3-81.34_RT2toWM1-81.73_RT3toWM1-82.13_RT1toAC1
11;attribute;11;4.67552625843156;1.073692612614762;False;0.0;87.86_WM1toRT3-88.24_V1toRT1-88.70_C1toRT1-89.12_RT3toRT2-91.01_WM1toRT2-91.40_WM1toRT3-91.81_RT1toAC1
12;attribute;12;3.703044916444924;1.0705662645897656;False;0.0;97.56_WM1toRT1-97.93_WM1toRT2-98.30_V1toWM1-99.01_WM1toRT1-99.79_WM1toRT3-100.51_WM1toAC1
13;attribute;13;1.5851991331581274;1.068451136917635;False;0.0;106.28_WM1toRT1-106.68_V1toRT3-107.10_RT3toAC1
