Ind;Task;Trial;Time;goalBLActivation;reachGoal;Accuracy;retrievedOperators
0;attribute;0;5.668724678690835;1.2682473436967063;False;;0.01_V1toRT2-1.87_WM1toRT3-2.28_WM1toRT2-2.68_C1toRT1-3.10_RT2toRT1-4.97_RT1toAC1
1;attribute;1;3.7499706717898618;1.1768303928757429;False;;10.70_WM1toRT1-11.10_WM1toRT3-11.47_V1toRT2-13.34_WM1toRT2-13.72_RT1toAC1
2;attribute;2;2.602069235755252;1.1454955996485356;False;;19.45_V1toRT2-21.32_RT1toAC1
3;attribute;3;1.973866642812464;1.127972704782397;False;;27.05_WM1toRT3-27.44_V1toRT1-27.87_C1toRT1-28.29_RT1toAC1
4;attribute;4;6.11105930760764;1.1098475903981448;False;;34.04_V1toRT3-34.48_RT2toRT1-36.34_WM1toRT3-36.72_WM1toRT2-37.11_C1toRT1-37.53_RT3toRT2-39.41_RT1toAC1
5;attribute;5;1.1381606547981633;1.102680123790286;False;;45.12_V1toRT3-45.54_RT1toAC1
6;attribute;6;1.1793242645045936;1.0967367296262205;False;;51.29_C1toRT1-51.72_RT2toAC1
7;attribute;7;2.8406198519860557;1.0905156575914696;False;;57.48_WM1toRT2-57.87_WM1toRT1-58.26_V1toRT1-58.70_WM1toRT2-59.13_WM1toRT3-59.56_RT1toAC1
8;attribute;8;2.1042338065843325;1.0858181317255386;False;;65.30_V1toRT1-65.81_WM1toRT2-66.24_WM1toRT3-66.67_RT1toAC1
9;attribute;9;7.317964055523633;1.0791774846314657;False;0.0;72.40_WM1toRT1-72.79_WM1toRT3-73.17_V1toRT3-73.64_RT2toRT1-74.09_WM1toRT3-74.51_WM1toRT2-74.98_C1toRT1-75.40_RT3toRT2-77.27_WM1toRT3-77.68_WM1toRT2-78.14_C1toRT1-78.55_WM1toRT3-78.99_RT1toAC1
10;attribute;10;8.279771451576238;1.0735182478025622;False;0.0;84.73_V1toRT2-86.62_WM1toRT2-87.03_WM1toRT3-87.48_C1toRT1-87.92_RT3toWM1-88.60_WM1toRT1-89.37_WM1toRT2-91.55_WM1toRT3-92.27_RT1toAC1
11;attribute;11;3.4457789647340604;1.0704995059105942;True;0.1;98.04_WM1toRT3-98.42_WM1toRT2-98.79_V1toWM1-99.49_WM1toRT3-100.22_RT1equalC1-100.32_RT2toWM1-100.71_RT2toAC1
12;attribute;12;3.915209816539559;1.0676885811904917;False;0.1;106.42_WM1toRT2-106.78_V1toWM1-107.45_WM1toRT2-109.63_WM1toAC1
13;attribute;13;3.2520818890567966;1.0653684928902092;True;0.2;115.36_WM1toRT3-115.75_WM1toRT1-116.17_V1toRT1-116.59_WM1toRT3-116.98_WM1toRT2-117.45_C1toRT1-117.88_RT2toAC1
14;attribute;14;2.1145449818295106;1.1390299533441883;True;0.3;123.61_WM1toRT3-124.05_C1toRT1-124.45_RT1equalC1-124.54_RT1equalC1-124.63_RT1equalC1-124.69_RT1equalC1+RT2toAC1
15;attribute;15;2.984778820369229;1.1217098158470058;True;0.4;130.71_WM1toRT3-131.10_WM1toRT1-131.48_V1toWM1-132.20_C1toRT1-132.59_RT1equalC1-132.68_RT1equalC1+RT2toAC1
16;attribute;16;2.1264236273978843;1.060148322027083;False;0.4;138.70_V1toWM1-139.37_WM1toRT3-140.10_RT2toAC1
17;attribute;17;1.6838780369751019;1.1028565284965741;False;0.4;145.85_C1toRT1-146.25_RT1equalC1-146.30_RT1equalC1-146.36_RT1equalC1-146.42_RT1equalC1-146.49_RT1equalC1+RT2toAC1
18;attribute;18;2.502886869924481;1.0574097606206374;True;0.5;152.51_WM1toRT3-152.89_V1toWM1+C1toRT1-154.21_RT1equalC1-154.29_RT2toAC1
19;attribute;19;2.3171408862508263;1.1726840410251889;False;0.5;160.02_V1toWM1+C1toRT1-161.31_RT1equalC1+RT2toAC1
20;attribute;20;2.037269171417904;1.0549906017780302;False;0.5;167.33_V1toWM1+C1toRT1-168.65_WM1toAC1
21;attribute;21;1.836957108208168;1.053941902624564;False;0.4;174.38_V1toWM1-175.08_C1toRT1-175.48_RT3toAC1
22;attribute;22;1.133908335311503;1.05305081623713;False;0.4;181.21_V1toRT3-181.62_RT3toAC1
23;attribute;23;7.569520415176187;1.1416390740952151;True;0.4;187.32_WM1toRT1-187.70_V1toWM1+C1toRT1-189.01_RT1equalC1+RT2toAC1-189.38_RT1equalC1-189.44_RT1equalC1+RT2toAC1-189.83_RT1equalC1-189.91_RT1equalC1-189.98_RT1equalC1-190.04_RT1equalC1-190.12_RT1equalC1+RT2toAC1-190.51_RT1equalC1-190.58_RT1equalC1-190.66_RT1equalC1+RT2toAC1-191.05_WM1toRT2-193.18_WM1toRT3-193.89_RT1equalC1+RT2toAC1
24;attribute;24;2.7985201955641514;1.050383115571363;False;0.3;199.92_WM1toRT3-200.29_WM1toRT1-200.69_V1toWM1+C1toRT1-201.98_RT2toAC1
25;attribute;25;1.432806047765382;1.1325684222612022;False;0.2;207.71_C1toRT1-208.12_RT1equalC1+RT2toAC1
26;attribute;26;1.8962015816595112;1.1287693571602553;True;0.3;214.15_WM1toRT3-214.53_C1toRT1-214.95_RT1equalC1-215.01_RT1equalC1+RT2toAC1
27;attribute;27;1.4749032478029278;1.1254903039392266;False;0.3;221.04_C1toRT1-221.43_RT1equalC1-221.49_RT1equalC1+RT2toAC1
28;attribute;28;2.041726166828312;1.0474166773822118;False;0.2;227.54_V1toWM1+C1toRT1-228.83_RT2toAC1
29;attribute;29;1.8653695921360909;1.1192327218162237;True;0.3;234.56_V1toRT1-234.99_C1toRT1-235.40_RT1equalC1+RT2toAC1
30;attribute;30;1.5276934101069344;1.116607230190908;True;0.4;241.42_V1toRT3-241.85_RT1equalC1-241.92_RT1equalC1+RT2toAC1
