Ind;Task;Trial;Time;goalBLActivation;reachGoal;Accuracy;retrievedOperators
0;recall;0;2.883546011567977;3.615651675106345;False;;0.00_V1toRT1-1.83_WM1toRT3-2.18_RT1toAC1
1;attribute;0;5.29985694306391;1.1841991454244774;False;;7.92_V1toRT2-9.80_C1toRT1-10.22_RT3toRT2-12.09_WM1toRT3-12.48_RT1toAC1
2;category;0;4.479742257981987;1.143565201168744;False;;18.21_V1toRT3-20.10_C1toRT1-20.49_RT2toWM1-21.20_C1toRT1-21.59_RT2toWM1-21.96_RT1toAC1
3;complete;0;1.895913461267828;1.4235936799059714;False;;27.69_WM1toRT2-28.08_C1toRT1-28.48_WM1toRT3-28.86_RT1toAC1
4;paired-associate;0;3.782861458197537;1.112207586139821;False;;34.60_WM1toRT3-34.99_V1toRT3-36.86_WM1toRT3-37.26_WM1toRT2-37.64_RT1toAC1
5;what-comes-before;0;2.285173032779745;1.3930398883187736;True;;43.39_V1toRT3-43.83_RT2toWM1-44.51_C1toRT1-44.93_RT3toAC1
6;press-key;0;6.103263622504335;1.259751567026363;False;;50.65_WM1toRT1-51.04_V1toWM1-51.73_WM1toRT2-53.90_next-goal-54.60_WM1toRT1
7;recall;1;2.9515519268196333;1.4653136193602452;False;;61.75_V1toRT1-63.60_WM1toRT3-63.98_RT1toAC1
8;attribute;1;6.646627083902715;1.0808312584043909;False;;69.69_V1toRT2-71.61_WM1toRT3-72.01_WM1toRT2-72.39_C1toRT1-72.81_RT1equalC1-72.90_RT3toRT2-74.78_WM1toRT2-75.19_WM1toRT3-75.63_RT1toAC1
9;recall;2;3.3452324538783813;1.3742640676993378;False;;81.33_V1toRT1-83.19_WM1toRT3-83.60_WM1toRT2-83.97_RT1toAC1
10;attribute;2;3.5601203492696385;1.073416303671564;False;;89.72_WM1toRT3-90.12_V1toRT3-90.56_RT1equalC1-90.66_RT2toRT1-92.53_RT1toAC1
11;recall;3;4.341041005555694;1.3187891626603279;False;;98.27_WM1toRT2-98.65_WM1toRT3-99.02_V1toWM1-99.72_WM1toRT3-101.87_RT1toAC1
12;what-comes-before;1;1.1437300935394603;1.0870594676179592;False;;107.58_V1toRT3-108.02_RT3toAC1
13;what-comes-before;2;2.6121088686279563;1.0825851582413573;False;;113.72_V1toRT3-114.14_RT2toWM1-114.85_WM1toRT3-115.56_C1toRT1-115.98_C1toRT1
14;what-comes-before;3;2.595972468030979;1.0787519317240346;False;;121.38_C1toRT1-121.77_C1toRT1-122.15_RT2toWM1-122.81_C1toRT1-123.21_RT2toWM1-123.58_C1toRT1
15;what-comes-before;4;2.3302048174197982;1.0755227395718605;False;;128.98_WM1toRT1-129.34_WM1toRT3-129.75_WM1toRT2-130.21_C1toRT1-130.61_RT2toWM1
16;what-comes-before;5;2.067699470453221;1.072761745828686;False;;136.26_WM1toRT3-136.68_C1toRT1-137.07_RT2toWM1+C1toRT1
17;what-comes-before;6;1.8256511712055212;1.0703667663227878;False;;143.38_C1toRT1-143.76_RT2toWM1-144.45_WM1toAC1
18;what-comes-before;7;2.2100027429962665;1.0680798916744705;False;;150.15_WM1toRT3-150.54_C1toRT1-150.92_WM1toRT3-151.28_C1toRT1-151.66_RT3toAC1
19;paired-associate;1;2.5387468358825056;1.0565467762013987;False;;157.36_V1toRT3-159.20_RT1toAC1
